	AM_refseq_aegilops_tauschii	AM_refseq_ananas_comosus	AM_refseq_asparagus_officinalis	AM_refseq_brachypodium_distachyon	AM_refseq_cajanus_cajan	AM_refseq_capsicum_annuum	AM_refseq_carica_papaya	AM_refseq_cicer_arietinum	AM_refseq_cucumis_melo	AM_refseq_daucus_carota	AM_refseq_fragaria_vesca	AM_refseq_gossypium_arboreum	AM_refseq_helianthus_annuus	AM_refseq_hevea_brasiliensis	AM_refseq_lactuca_sativa	AM_refseq_manihot_esculenta	AM_refseq_medicago_truncatula	AM_refseq_musa_acuminata	AM_refseq_nicotiana_tabacum	AM_refseq_olea_europaea	AM_refseq_phaseolus_vulgaris	AM_refseq_phoenix_dactylifera	AM_refseq_prunus_persica	AM_refseq_ricinus_communis	AM_refseq_sesamum_indicum	AM_refseq_setaria_italica	AM_refseq_solanum_lycopersicum	AM_refseq_sorghum_bicolor	AM_refseq_theobroma_cacao	AM_refseq_vigna_radiata	AM_refseq_vitis_vinifera	AM_refseq_zea_mays	NM_refseq_arabidopsis_lyrata	NM_refseq_arabidopsis_thaliana	NM_refseq_beta_vulgaris	NM_refseq_brassica_rapa	NM_refseq_capsella_rubella	NM_refseq_eutrema_salsugineum	NM_refseq_lupinus_angustifolius	NM_refseq_nelumbo_nucifera	NM_refseq_spinacia_oleracea	NM_refseq_tarenaya_hassleriana
'3	4.0	3.2	3.2	3.3	4.1	3.9	1.9	3.6	2.4	4.5	2.6	5.6	5.4	5.3	4.3	4.2	4.0	4.7	5.0	5.4	3.9	4.5	2.3	2.4	3.7	3.6	3.7	3.6	2.4	3.8	2.9	4.8	4.4	3.9	1.9	6.0	3.9	3.7	6.1	2.5	2.1	4.7
'4	1.8	1.2	1.1	1.4	2.1	1.8	0.6	1.6	0.9	2.3	1.0	2.9	2.9	3.2	2.0	2.3	1.8	2.7	7.0	3.2	2.0	2.2	1.1	0.9	1.8	1.7	1.7	1.5	1.0	1.9	1.0	2.5	1.9	1.7	0.7	3.4	1.8	1.6	3.2	1.3	1.0	2.3
'5	1.0	0.5	0.6	0.8	1.1	0.9	0.3	0.6	0.4	1.0	0.5	1.6	1.7	1.5	1.0	1.0	0.9	1.8	2.0	1.6	0.8	0.8	0.4	0.4	0.7	0.7	0.9	0.8	0.5	0.8	0.6	1.4	1.0	0.7	0.4	2.2	0.8	0.8	1.9	0.5	0.4	1.2
'6	0.7	0.3	0.2	0.3	0.5	0.5	0.1	0.4	0.3	0.7	0.3	1.0	1.1	0.9	0.7	0.6	0.5	1.1	2.6	1.2	0.5	0.4	0.3	0.2	0.5	0.5	0.4	0.5	0.3	0.4	0.3	0.7	0.6	0.4	0.2	1.3	0.5	0.4	1.1	0.3	0.2	0.6
'7	0.4	0.2	0.2	0.2	0.3	0.3	0.1	0.2	0.2	0.5	0.2	0.6	0.6	0.5	0.3	0.3	0.4	0.6	1.1	0.7	0.3	0.3	0.2	0.1	0.2	0.3	0.3	0.3	0.1	0.2	0.2	0.4	0.3	0.2	0.2	0.8	0.2	0.2	0.7	0.2	0.1	0.4
'8	0.4	0.1	0.1	0.2	0.2	0.2	0.1	0.2	0.1	0.3	0.1	0.4	0.5	0.3	0.3	0.2	0.2	0.4	1.1	0.4	0.2	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.2	0.2	0.1	0.5	0.1	0.1	0.4	0.1	0.1	0.2
'9	0.3	0.1	0.1	0.1	0.2	0.2	0.0	0.1	0.1	0.2	0.1	0.2	0.3	0.2	0.2	0.1	0.2	0.3	0.5	0.3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.2	0.2	0.1	0.1	0.4	0.2	0.1	0.3	0.1	0.1	0.2
'10	0.2	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.4	0.2	0.2	0.1	0.1	0.2	0.4	0.2	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.2	0.1	0.1	0.1	0.3	0.1	0.1	0.2	0.1	0.1	0.1
11-15	0.5	0.1	0.2	0.2	0.3	0.3	0.1	0.2	0.1	0.3	0.2	0.4	0.6	0.4	0.3	0.2	0.4	0.4	0.9	0.5	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.3	0.2	0.2	0.3	0.3	0.3	0.2	0.2	0.6	0.2	0.2	0.4	0.1	0.2	0.2
16-20	0.3	0.1	0.0	0.1	0.1	0.1	0.0	0.1	0.0	0.2	0.1	0.1	0.3	0.1	0.2	0.1	0.2	0.1	0.3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.0
21-50	0.5	0.1	0.1	0.1	0.1	0.2	0.0	0.1	0.0	0.2	0.2	0.2	0.6	0.2	0.3	0.1	0.3	0.1	0.4	0.2	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1
51-100	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	8458	8121	7747	8946	7456	8059	9250	7956	8467	6781	8775	6238	6286	5442	7357	6580	7467	5895	2196	6185	7653	6647	8878	9307	7150	8849	8003	9212	9089	7528	8662	7253	8638	9069	9182	5477	8441	8322	5131	6803	8974	6538
'2	5816	5188	5286	5548	6274	5678	4318	5546	4300	5870	4736	6032	6624	8440	5826	7172	5898	5406	12524	6936	6428	7022	4846	4576	6274	5856	5374	5716	4744	6208	5184	6824	6344	6032	4122	7242	5886	5792	6276	8402	4498	6442
'3	3486	2724	2763	2823	3522	3354	1665	3135	2112	3879	2274	4830	4701	4605	3732	3609	3471	4047	4287	4632	3405	3897	2004	2031	3156	3072	3180	3072	2073	3246	2511	4170	3771	3378	1650	5169	3357	3222	5271	2169	1848	4059
'4	2064	1384	1236	1640	2380	2024	744	1880	1072	2624	1140	3344	3372	3724	2268	2680	2032	3064	8100	3644	2296	2588	1208	988	2032	1952	1904	1716	1104	2164	1180	2932	2196	2008	852	3892	2056	1880	3696	1508	1108	2616
'5	1490	680	815	1120	1535	1260	435	930	565	1435	775	2370	2505	2175	1485	1390	1260	2545	2855	2335	1215	1100	630	595	960	1075	1315	1080	715	1190	805	1980	1450	1075	595	3100	1125	1135	2745	765	620	1785
'6	1164	444	354	564	846	852	204	714	432	1194	558	1704	1884	1566	1152	1062	888	1842	4446	2034	780	708	522	342	810	822	654	786	462	744	564	1164	960	744	426	2304	810	618	1950	576	336	1104
'7	763	308	364	497	560	525	175	364	357	966	413	1246	1127	938	602	637	833	1267	2114	1344	539	504	462	217	448	574	651	553	273	497	490	833	588	497	406	1638	455	497	1414	371	294	707
'8	864	256	280	528	560	520	160	368	240	664	344	816	1064	680	584	496	504	960	2520	952	432	336	312	200	320	472	360	424	360	504	352	632	360	456	224	1208	344	344	976	264	264	512
'9	765	198	198	288	432	441	117	261	207	450	162	504	900	603	477	387	414	819	1296	801	315	207	207	153	216	378	333	396	198	333	297	531	396	324	243	918	405	288	765	234	252	414
'10	510	120	210	170	320	250	90	200	150	380	210	410	1020	470	500	380	420	610	1240	510	420	230	200	120	160	290	310	320	130	230	220	490	230	250	180	750	330	220	670	210	230	260
11-15	1701	391	547	810	960	1013	185	709	371	1264	788	1488	2344	1349	1165	757	1331	1488	3420	1797	860	553	663	434	655	826	679	925	572	782	1042	1153	1101	800	590	2115	852	621	1419	491	647	863
16-20	1281	319	199	478	417	693	92	285	178	864	444	409	1693	745	823	427	825	439	1336	613	639	298	284	264	458	593	405	427	247	584	638	523	654	398	393	1189	439	393	506	274	463	250
21-50	4117	500	1095	763	1204	1646	89	905	348	2159	1459	1502	5222	1421	2512	1196	2308	716	3251	1473	890	497	1274	478	310	1068	964	1184	750	926	1601	895	1198	736	1158	1693	1039	1083	887	604	1127	630
