	AM_refseq_aegilops_tauschii	AM_refseq_ananas_comosus	AM_refseq_asparagus_officinalis	AM_refseq_brachypodium_distachyon	AM_refseq_cajanus_cajan	AM_refseq_capsicum_annuum	AM_refseq_carica_papaya	AM_refseq_cicer_arietinum	AM_refseq_cucumis_melo	AM_refseq_daucus_carota	AM_refseq_fragaria_vesca	AM_refseq_gossypium_arboreum	AM_refseq_helianthus_annuus	AM_refseq_hevea_brasiliensis	AM_refseq_lactuca_sativa	AM_refseq_manihot_esculenta	AM_refseq_medicago_truncatula	AM_refseq_musa_acuminata	AM_refseq_nicotiana_tabacum	AM_refseq_olea_europaea	AM_refseq_phaseolus_vulgaris	AM_refseq_phoenix_dactylifera	AM_refseq_prunus_persica	AM_refseq_ricinus_communis	AM_refseq_sesamum_indicum	AM_refseq_setaria_italica	AM_refseq_solanum_lycopersicum	AM_refseq_sorghum_bicolor	AM_refseq_theobroma_cacao	AM_refseq_vigna_radiata	AM_refseq_vitis_vinifera	AM_refseq_zea_mays	NM_refseq_arabidopsis_lyrata	NM_refseq_arabidopsis_thaliana	NM_refseq_beta_vulgaris	NM_refseq_brassica_rapa	NM_refseq_capsella_rubella	NM_refseq_eutrema_salsugineum	NM_refseq_lupinus_angustifolius	NM_refseq_nelumbo_nucifera	NM_refseq_spinacia_oleracea	NM_refseq_tarenaya_hassleriana
AM_refseq_fragaria_vesca	10960	11259	10852	10878	11826	11583	11415	11739	11464	11716	12718	11957	11637	12022	11654	11871	11769	11208	11870	11664	11784	11428	12238	11942	11681	10887	11654	10943	12009	11746	12013	10600	11465	11430	11235	11384	11360	11338	11542	11715	11274	11439
AM_refseq_gossypium_arboreum	11043	11331	10901	10957	11896	11701	11556	11796	11536	11776	11957	13048	11738	12206	11729	12030	11805	11319	12022	11751	11878	11514	12045	12101	11763	10957	11757	11026	12417	11820	12126	10704	11559	11539	11298	11500	11452	11431	11613	11823	11356	11554
AM_refseq_helianthus_annuus	10939	11146	10835	10799	11666	11610	11293	11519	11311	11750	11637	11738	13834	11821	12475	11654	11585	11097	11996	11768	11596	11300	11716	11704	11621	10817	11608	10890	11717	11577	11810	10619	11320	11293	11194	11261	11182	11201	11383	11547	11249	11282
AM_refseq_hevea_brasiliensis	11078	11398	10988	10991	11990	11777	11595	11861	11579	11847	12022	12206	11821	13376	11798	12547	11901	11375	12111	11871	11954	11604	12140	12388	11851	11008	11821	11075	12238	11892	12221	10753	11591	11573	11365	11516	11469	11454	11680	11907	11383	11582
AM_refseq_lactuca_sativa	10908	11163	10804	10819	11630	11598	11263	11556	11335	11736	11654	11729	12475	11798	13087	11679	11569	11133	11894	11653	11589	11328	11746	11719	11632	10821	11630	10890	11747	11589	11826	10598	11304	11282	11178	11239	11181	11189	11401	11572	11223	11293
AM_refseq_manihot_esculenta	10951	11261	10853	10887	11822	11613	11431	11713	11457	11708	11871	12030	11654	12547	11679	12863	11741	11246	11889	11658	11794	11444	11984	12213	11717	10924	11698	10953	12075	11753	12040	10614	11441	11429	11217	11361	11336	11313	11578	11748	11257	11448
AM_refseq_medicago_truncatula	10921	11185	10779	10847	12236	11510	11324	12297	11388	11601	11769	11805	11585	11901	11569	11741	12997	11148	11813	11573	12178	11336	11829	11835	11571	10854	11590	10914	11828	12128	11837	10590	11374	11350	11189	11297	11256	11243	11888	11592	11240	11354
AM_refseq_musa_acuminata	11095	11442	10913	11042	11217	11041	10891	11114	10925	11159	11208	11319	11097	11375	11133	11246	11148	12157	11294	11073	11216	11564	11293	11308	11161	11053	11116	11117	11322	11170	11403	10769	10964	10959	10820	10946	10924	10911	11068	11334	10803	11004
AM_refseq_nicotiana_tabacum	11080	11365	11026	10958	11905	12762	11562	11781	11492	11928	11870	12022	11996	12111	11894	11889	11813	11294	14615	12253	11895	11589	11950	11944	11945	10956	12605	11041	11990	11790	12079	10795	11528	11502	11381	11484	11376	11377	11616	11781	11411	11504
AM_refseq_olea_europaea	10871	11121	10826	10747	11677	11717	11339	11534	11283	11670	11664	11751	11768	11871	11653	11658	11573	11073	12253	13625	11623	11345	11718	11728	11807	10760	11675	10805	11730	11537	11830	10581	11311	11243	11102	11230	11157	11153	11370	11565	11180	11282
AM_refseq_phaseolus_vulgaris	10931	11215	10798	10855	12454	11546	11391	12175	11427	11623	11784	11878	11596	11954	11589	11794	12178	11216	11895	11623	13300	11368	11862	11874	11592	10861	11594	10928	11882	12511	11913	10621	11431	11415	11203	11389	11343	11323	11947	11630	11220	11432
AM_refseq_phoenix_dactylifera	11207	11596	11061	11122	11421	11267	11092	11301	11096	11379	11428	11514	11300	11604	11328	11444	11336	11564	11589	11345	11368	12687	11497	11488	11326	11159	11303	11205	11536	11349	11631	10898	11085	11080	10940	11004	10972	10963	11161	11541	10981	11079
AM_refseq_prunus_persica	10997	11317	10904	10926	11891	11653	11502	11797	11549	11770	12238	12045	11716	12140	11746	11984	11829	11293	11950	11718	11862	11497	12753	12075	11768	10924	11736	10982	12121	11817	12128	10645	11522	11492	11293	11442	11414	11395	11611	11819	11340	11519
